"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 21:34:05:382 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"10","3","1","1","4","5000","4","523","3285","1376","2377","63","2330","47","1040","557","780","37","2455","2545","1284","1261"
"5","3","1","1","4","5000","4","523","3650","1755","2747","63","2714","33","1220","624","903","38","2486","2514","1240","1274"
"14","3","1","1","4","5000","4","523","3285","1351","2251","63","2208","43","986","538","727","32","2517","2483","1268","1215"
"6","3","1","1","4","5000","4","523","3285","1441","2460","63","2406","54","1091","562","807","37","2542","2458","1195","1263"
"4","3","1","1","4","5000","4","523","3285","1337","2252","63","2229","23","1015","531","706","25","2527","2473","1298","1175"
"2","3","1","1","4","5000","4","523","3285","1399","2318","63","2271","47","1021","555","742","33","2526","2474","1260","1214"
"9","3","1","1","4","5000","4","523","3285","1298","2209","63","2160","49","1019","485","705","35","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","3285","1303","2285","63","2230","55","1062","491","732","34","2518","2482","1254","1228"
"12","3","1","1","4","5000","4","523","4015","1861","2824","63","2809","15","1278","636","910","42","2512","2488","1257","1231"
"15","3","1","1","4","5000","4","523","3285","1397","2366","63","2310","56","1058","538","770","35","2498","2502","1239","1263"
"3","3","1","1","4","5000","4","523","3285","1494","2514","63","2468","46","1120","559","835","33","2506","2494","1214","1280"
"11","3","1","1","4","5000","4","523","4015","1794","2701","63","2678","23","1228","626","847","35","2551","2449","1247","1202"
"13","3","1","1","4","5000","4","523","3285","1382","2339","63","2274","65","1077","520","742","33","2527","2473","1253","1220"
"8","3","1","1","4","5000","4","523","3285","1344","2303","63","2245","58","988","559","756","31","2431","2569","1337","1232"
"5","3","1","1","4","5000","4","523","4015","1979","3007","63","2987","20","1348","682","977","40","2486","2514","1240","1274"
"10","3","1","1","4","5000","4","523","3650","1647","2611","63","2579","32","1141","624","846","37","2455","2545","1284","1261"
"7","3","1","1","4","5000","4","523","3285","1362","2303","63","2241","62","1044","528","731","25","2511","2489","1292","1197"
"14","3","1","1","4","5000","4","523","3650","1585","2498","63","2479","19","1113","585","800","34","2517","2483","1268","1215"
"6","3","1","1","4","5000","4","523","3650","1725","2696","63","2667","29","1209","609","878","43","2542","2458","1195","1263"
"12","3","1","1","4","5000","4","523","4380","2095","3074","63","3060","14","1408","696","970","46","2512","2488","1257","1231"
"2","3","1","1","4","5000","4","523","3650","1644","2558","63","2532","26","1134","612","812","35","2526","2474","1260","1214"
"16","3","1","1","4","5000","4","523","3650","1574","2534","63","2502","32","1175","543","816","36","2518","2482","1254","1228"
"9","3","1","1","4","5000","4","523","3650","1521","2441","63","2411","30","1128","526","787","38","2552","2448","1218","1230"
"11","3","1","1","4","5000","4","523","4380","2039","2946","63","2926","20","1328","691","927","39","2551","2449","1247","1202"
"4","3","1","1","4","5000","4","523","3650","1582","2480","63","2464","16","1126","583","771","25","2527","2473","1298","1175"
"15","3","1","1","4","5000","4","523","3650","1656","2595","63","2566","29","1178","586","831","37","2498","2502","1239","1263"
"3","3","1","1","4","5000","4","523","3650","1783","2780","63","2749","31","1244","629","907","34","2506","2494","1214","1280"
"13","3","1","1","4","5000","4","523","3650","1650","2578","63","2533","45","1196","574","808","35","2527","2473","1253","1220"
"5","3","1","1","4","5000","4","523","4380","2259","3244","63","3230","14","1465","747","1032","44","2486","2514","1240","1274"
"8","3","1","1","4","5000","4","523","3650","1607","2510","63","2479","31","1073","617","820","32","2431","2569","1337","1232"
"10","3","1","1","4","5000","4","523","4015","1882","2882","63","2856","26","1281","680","921","38","2455","2545","1284","1261"
"7","3","1","1","4","5000","4","523","3650","1634","2550","63","2516","34","1165","584","801","26","2511","2489","1292","1197"
"12","3","1","1","4","5000","4","523","4745","2379","3279","63","3262","17","1518","743","1018","48","2512","2488","1257","1231"
"14","3","1","1","4","5000","4","523","4015","1799","2738","63","2724","14","1231","639","868","38","2517","2483","1268","1215"
"6","3","1","1","4","5000","4","523","4015","1946","2945","63","2919","26","1324","664","957","44","2542","2458","1195","1263"
"11","3","1","1","4","5000","4","523","4745","2277","3147","63","3137","10","1437","738","972","43","2551","2449","1247","1202"
"16","3","1","1","4","5000","4","523","4015","1783","2797","63","2777","20","1296","610","891","41","2518","2482","1254","1228"
"9","3","1","1","4","5000","4","523","4015","1725","2710","63","2689","21","1255","591","864","41","2552","2448","1218","1230"
"2","3","1","1","4","5000","4","523","4015","1838","2807","63","2795","12","1254","676","877","37","2526","2474","1260","1214"
"4","3","1","1","4","5000","4","523","4015","1800","2690","63","2681","9","1224","631","835","28","2527","2473","1298","1175"
"15","3","1","1","4","5000","4","523","4015","1877","2851","63","2834","17","1307","641","903","44","2498","2502","1239","1263"
"5","3","1","1","4","5000","4","523","4745","2541","3460","63","3443","17","1576","800","1084","45","2486","2514","1240","1274"
"3","3","1","1","4","5000","4","523","4015","1995","3010","63","2990","20","1352","684","974","36","2506","2494","1214","1280"
"13","3","1","1","4","5000","4","523","4015","1869","2824","63","2806","18","1309","628","887","37","2527","2473","1253","1220"
"8","3","1","1","4","5000","4","523","4015","1799","2776","63","2748","28","1208","676","892","38","2431","2569","1337","1232"
"10","3","1","1","4","5000","4","523","4380","2125","3131","63","3106","25","1399","741","991","42","2455","2545","1284","1261"
"12","3","1","1","4","5000","4","523","5110","2621","3471","63","3457","14","1620","787","1064","50","2512","2488","1257","1231"
"6","3","1","1","4","5000","4","523","4380","2220","3171","63","3161","10","1449","720","1002","47","2542","2458","1195","1263"
"14","3","1","1","4","5000","4","523","4380","2039","2996","63","2984","12","1361","712","923","40","2517","2483","1268","1215"
"11","3","1","1","4","5000","4","523","5110","2519","3329","63","3322","7","1542","781","1006","44","2551","2449","1247","1202"
"7","3","1","1","4","5000","4","523","4015","1839","2800","63","2771","29","1276","644","880","31","2511","2489","1292","1197"
"16","3","1","1","4","5000","4","523","4380","2037","3046","63","3029","17","1427","666","953","43","2518","2482","1254","1228"
"9","3","1","1","4","5000","4","523","4380","1968","2946","63","2932","14","1369","646","931","42","2552","2448","1218","1230"
"5","3","1","1","4","5000","4","523","5110","2805","3647","63","3633","14","1675","846","1126","47","2486","2514","1240","1274"
"2","3","1","1","4","5000","4","523","4380","2068","3018","63","3009","9","1364","720","934","41","2526","2474","1260","1214"
"15","3","1","1","4","5000","4","523","4380","2135","3108","63","3093","15","1431","693","984","44","2498","2502","1239","1263"
"4","3","1","1","4","5000","4","523","4380","2048","2911","63","2905","6","1338","688","885","33","2527","2473","1298","1175"
"3","3","1","1","4","5000","4","523","4380","2275","3256","63","3243","13","1482","736","1038","42","2506","2494","1214","1280"
