"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"drug-tendency"
"02/27/2024 18:25:17:705 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"2","3","0","1","4","5000","4","523","3285","1368","2318","0","2271","47","1040","517","761","0","2510","2490","1235","1255"
"6","3","0","1","4","5000","4","523","4380","2023","3010","0","2995","15","1381","690","939","0","2500","2500","1269","1231"
"5","3","0","1","4","5000","4","523","3650","1639","2592","0","2558","34","1202","567","823","0","2546","2454","1230","1224"
"14","3","0","1","4","5000","4","523","4015","1716","2730","0","2715","15","1215","645","870","0","2498","2502","1249","1253"
"3","3","0","1","4","5000","4","523","4380","2070","3072","0","3060","12","1354","734","984","0","2464","2536","1274","1262"
"16","3","0","1","4","5000","4","523","4015","1806","2743","0","2724","19","1240","632","871","0","2530","2470","1242","1228"
"12","3","0","1","4","5000","4","523","4380","1973","2938","0","2914","24","1332","691","915","0","2531","2469","1273","1196"
"1","3","0","1","4","5000","4","523","4015","1886","2867","0","2844","23","1307","642","918","0","2533","2467","1222","1245"
"7","3","0","1","4","5000","4","523","4015","1851","2841","0","2817","24","1311","627","903","0","2550","2450","1196","1254"
"4","3","0","1","4","5000","4","523","4380","2089","3018","0","3005","13","1371","694","953","0","2498","2502","1245","1257"
"15","3","0","1","4","5000","4","523","4745","2342","3166","0","3158","8","1490","706","970","0","2523","2477","1254","1223"
"13","3","0","1","4","5000","4","523","3650","1649","2626","0","2606","20","1165","606","855","0","2398","2602","1318","1284"
"10","3","0","1","4","5000","4","523","4380","2114","3118","0","3102","16","1385","746","987","0","2476","2524","1264","1260"
"11","3","0","1","4","5000","4","523","4380","2129","3121","0","3093","28","1471","663","987","0","2560","2440","1212","1228"
"9","3","0","1","4","5000","4","523","4380","2131","3179","0","3160","19","1411","746","1022","0","2426","2574","1293","1281"
"8","3","0","1","4","5000","4","523","4380","2158","3138","0","3119","19","1421","713","1004","0","2493","2507","1254","1253"
"6","3","0","1","4","5000","4","523","4745","2289","3222","0","3205","17","1478","743","1001","0","2500","2500","1269","1231"
"5","3","0","1","4","5000","4","523","4015","1872","2843","0","2815","28","1331","625","887","0","2546","2454","1230","1224"
"2","3","0","1","4","5000","4","523","3650","1626","2568","0","2540","28","1166","571","831","0","2510","2490","1235","1255"
"14","3","0","1","4","5000","4","523","4380","1959","2997","0","2980","17","1331","721","945","0","2498","2502","1249","1253"
"3","3","0","1","4","5000","4","523","4745","2365","3267","0","3256","11","1458","781","1028","0","2464","2536","1274","1262"
"16","3","0","1","4","5000","4","523","4380","2044","2983","0","2972","11","1352","695","936","0","2530","2470","1242","1228"
"12","3","0","1","4","5000","4","523","4745","2249","3125","0","3107","18","1426","741","958","0","2531","2469","1273","1196"
"1","3","0","1","4","5000","4","523","4380","2140","3109","0","3089","20","1433","688","988","0","2533","2467","1222","1245"
"4","3","0","1","4","5000","4","523","4745","2363","3231","0","3220","11","1478","742","1011","0","2498","2502","1245","1257"
"15","3","0","1","4","5000","4","523","5110","2565","3369","0","3361","8","1579","761","1029","0","2523","2477","1254","1223"
"7","3","0","1","4","5000","4","523","4380","2115","3085","0","3059","26","1430","685","970","0","2550","2450","1196","1254"
"10","3","0","1","4","5000","4","523","4745","2430","3333","0","3316","17","1499","789","1045","0","2476","2524","1264","1260"
"13","3","0","1","4","5000","4","523","4015","1889","2913","0","2899","14","1281","690","942","0","2398","2602","1318","1284"
"11","3","0","1","4","5000","4","523","4745","2398","3318","0","3295","23","1574","711","1033","0","2560","2440","1212","1228"
"9","3","0","1","4","5000","4","523","4745","2424","3381","0","3370","11","1503","811","1067","0","2426","2574","1293","1281"
"6","3","0","1","4","5000","4","523","5110","2551","3418","0","3411","7","1584","790","1044","0","2500","2500","1269","1231"
"8","3","0","1","4","5000","4","523","4745","2447","3382","0","3357","25","1551","773","1058","0","2493","2507","1254","1253"
"5","3","0","1","4","5000","4","523","4380","2112","3082","0","3054","28","1456","668","958","0","2546","2454","1230","1224"
"14","3","0","1","4","5000","4","523","4745","2241","3200","0","3191","9","1419","773","1008","0","2498","2502","1249","1253"
"2","3","0","1","4","5000","4","523","4015","1824","2800","0","2786","14","1271","631","898","0","2510","2490","1235","1255"
"3","3","0","1","4","5000","4","523","5110","2606","3460","0","3448","12","1553","830","1077","0","2464","2536","1274","1262"
"12","3","0","1","4","5000","4","523","5110","2480","3322","0","3313","9","1523","795","1004","0","2531","2469","1273","1196"
"16","3","0","1","4","5000","4","523","4745","2311","3183","0","3173","10","1465","736","982","0","2530","2470","1242","1228"
"15","3","0","1","4","5000","4","523","5475","2801","3527","0","3518","9","1647","804","1076","0","2523","2477","1254","1223"
